Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
24,CN,1,2019,52,F,true,PYC,APRIL,2021,Lecture 7
25,US,1,2021,18,F,false,JMC,JANUARY,2023,Lecture 12
25,US,1,2021,18,F,false,PYC,DECEMBER,2022,Lecture 2
Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,1,2023,67,F,false,JMC,NOVEMBER,2024,Lecture 4
1,AU,1,2023,67,F,false,PYC,JULY,2024,Lecture 12
2,CN,10,2020,40,F,false,JMC,JULY,2020,Lecture 3
2,CN,10,2020,40,F,false,PYC,SEPTEMBER,2022,Lecture 6
3,US,9,2024,46,F,true,JMC,MAY,2024,Lecture 13
3,US,9,2024,46,F,true,PYC,APRIL,2024,Lecture 11
4,CN,5,2017,65,M,false,JMC,SEPTEMBER,2023,Lecture 14
4,CN,5,2017,65,M,false,PYC,OCTOBER,2023,Lecture 3
5,IN,1,2021,89,M,true,JMC,DECEMBER,2021,Lecture 9
5,IN,1,2021,89,M,true,PYC,AUGUST,2022,Lecture 7
6,IN,10,2022,72,F,false,JMC,MAY,2023,Lecture 3
6,IN,10,2022,72,F,false,PYC,AUGUST,2024,Lecture 14
7,AU,8,2018,34,M,false,JMC,MARCH,2021,Lecture 12
7,AU,8,2018,34,M,false,PYC,APRIL,2023,Lecture 5
8,AU,5,2021,88,U,true,JMC,MAY,2022,Lecture 9
8,AU,5,2021,88,U,true,PYC,MARCH,2023,Lecture 11
9,CN,10,2018,86,F,false,JMC,JANUARY,2022,Lecture 13
9,CN,10,2018,86,F,false,PYC,AUGUST,2019,Lecture 1
10,IN,1,2018,64,M,true,JMC,DECEMBER,2019,Lecture 8
10,IN,1,2018,64,M,true,PYC,JULY,2018,Lecture 13
11,CN,7,2019,31,M,false,JMC,JULY,2020,Lecture 12
11,CN,7,2019,31,M,false,PYC,FEBRUARY,2022,Lecture 1
12,GB,7,2018,58,F,true,JMC,MAY,2018,Lecture 1
12,GB,7,2018,58,F,true,PYC,JULY,2019,Lecture 14
13,GB,5,2015,39,M,true,JMC,OCTOBER,2021,Lecture 7
13,GB,5,2015,39,M,true,PYC,NOVEMBER,2019,Lecture 5
14,CN,5,2024,77,U,false,JMC,MARCH,2024,Lecture 8
14,CN,5,2024,77,U,false,PYC,OCTOBER,2024,Lecture 14
15,IN,3,2021,80,M,true,JMC,AUGUST,2023,Lecture 10
15,IN,3,2021,80,M,true,PYC,JULY,2023,Lecture 7
16,IN,4,2016,52,M,true,JMC,MARCH,2023,Lecture 10
16,IN,4,2016,52,M,true,PYC,MARCH,2021,Lecture 14
17,IN,9,2021,58,F,false,JMC,SEPTEMBER,2024,Lecture 1
17,IN,9,2021,58,F,false,PYC,JUNE,2021,Lecture 4
18,AU,4,2015,27,U,false,JMC,AUGUST,2015,Lecture 4
18,AU,4,2015,27,U,false,PYC,JUNE,2022,Lecture 11
19,GB,7,2023,35,F,false,JMC,MAY,2023,Lecture 3
19,GB,7,2023,35,F,false,PYC,JUNE,2024,Lecture 11
20,AU,6,2017,34,U,false,JMC,JULY,2022,Lecture 1
20,AU,6,2017,34,U,false,PYC,JUNE,2018,Lecture 13
21,GB,10,2019,37,U,false,JMC,JULY,2023,Lecture 4
21,GB,10,2019,37,U,false,PYC,AUGUST,2021,Lecture 10
22,IN,11,2023,38,F,true,JMC,MARCH,2024,Lecture 5
22,IN,11,2023,38,F,true,PYC,JUNE,2024,Lecture 10
23,IN,1,2015,25,M,false,JMC,DECEMBER,2016,Lecture 8
23,IN,1,2015,25,M,false,PYC,MARCH,2022,Lecture 10
24,GB,7,2018,55,U,true,JMC,OCTOBER,2023,Lecture 14
24,GB,7,2018,55,U,true,PYC,APRIL,2018,Lecture 12
25,AU,4,2021,80,M,false,JMC,FEBRUARY,2021,Lecture 12
25,AU,4,2021,80,M,false,PYC,FEBRUARY,2021,Lecture 8
